Country_ID,Year_ID,Government_GDP_Value,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Perceptions_of_corruption,Positive_affect,Negative_affect,CC_Estimate,CC_Percent_Rank,CC_Percent_Rank_Lower,CC_Percent_Rank_Upper,SP_Global_Equity_Indices,Political_Stability_Estimate,Political_Stability_Ranking,Gini_Index
1,1,,,,,,,,,,,,,,,,,
182,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
183,1,,,,,,,,,,,,,,,,,
221,1,,,,,,,,,,,,,,,,,
184,1,,,,,,,,,,,,,,,,,
192,1,,,,,,,,,,,,,,,,,
193,1,,,,,,,,,,,,,,,,,
194,1,,,,,,,,,,,,,,,,,
218,1,,,,,,,,,,,,,,,,,
188,1,,,,,,,,,,,,,,,,,
189,1,,,,,,,,,,,,,,,,,
190,1,,,,,,,,,,,,,,,,,
219,1,,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,,,
118,1,,,,,,,,,,,,,,,,,
266,1,,,,,,,,,,,,,,,,,
119,1,,,,,,,,,,,,,,,,,
114,1,,,,,,,,,,,,,,,,,
115,1,,,,,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,,,,,
116,1,,,,,,,,,,,,,,,,,
191,1,,,,,,,,,,,,,,,,,
220,1,,,,,,,,,,,,,,,,,
187,1,,,,,,,,,,,,,,,,,
203,1,,,,,,,,,,,,,,,,,
204,1,,,,,,,,,,,,,,,,,
222,1,,,,,,,,,,,,,,,,,
197,1,,,,,,,,,,,,,,,,,
198,1,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,,,
199,1,,,,,,,,,,,,,,,,,
200,1,,,,,,,,,,,,,,,,,
216,1,,,,,,,,,,,,,,,,,
210,1,,,,,,,,,,,,,,,,,
211,1,,,,,,,,,,,,,,,,,
214,1,,,,,,,,,,,,,,,,,
209,1,,,,,,,,,,,,,,,,,
205,1,,,,,,,,,,,,,,,,,
206,1,,,,,,,,,,,,,,,,,
207,1,,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,,
215,1,,,,,,,,,,,,,,,,,
208,1,,,,,,,,,,,,,,,,,
217,1,,,,,,,,,,,,,,,,,
196,1,,,,,,,,,,,,,,,,,
186,1,,,,,,,,,,,,,,,,,
213,1,,,,,,,,,,,,,,,,,
243,1,,,,,,,,,,,,,,,,,
125,1,,,,,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,,,,,
105,1,,,,,,,,,,,,,,,,,
246,1,,,,,,,,,,,,,,,,,
235,1,,,,,,,,,,,,,,,,,
236,1,,,,,,,,,,,,,,,,,
232,1,,,,,,,,,,,,,,,,,
156,1,,,,,,,,,,,,,,,,,
157,1,,,,,,,,,,,,,,,,,
158,1,,,,,,,,,,,,,,,,,
245,1,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,
149,1,,,,,,,,,,,,,,,,,
148,1,,,,,,,,,,,,,,,,,
147,1,,,,,,,,,,,,,,,,,
146,1,,,,,,,,,,,,,,,,,
145,1,,,,,,,,,,,,,,,,,
144,1,,,,,,,,,,,,,,,,,
151,1,,,,,,,,,,,,,,,,,
152,1,,,,,,,,,,,,,,,,,
153,1,,,,,,,,,,,,,,,,,
233,1,,,,,,,,,,,,,,,,,
150,1,,,,,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,,,,,
111,1,,,,,,,,,,,,,,,,,
126,1,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,
121,1,,,,,,,,,,,,,,,,,
241,1,,,,,,,,,,,,,,,,,
122,1,,,,,,,,,,,,,,,,,
242,1,,,,,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,,,,,
123,1,,,,,,,,,,,,,,,,,
124,1,,,,,,,,,,,,,,,,,
113,1,,,,,,,,,,,,,,,,,
102,1,,,,,,,,,,,,,,,,,
103,1,,,,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,,,,,
