Country_ID,Year_ID,Government_GDP_Value,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Perceptions_of_corruption,Positive_affect,Negative_affect,CC_Estimate,CC_Percent_Rank,CC_Percent_Rank_Lower,CC_Percent_Rank_Upper,SP_Global_Equity_Indices,Political_Stability_and_Absence_of_Violence_Estimate,Political_Stability_and_Absence_of_Violence_Ranking,Gini_Index
71,57,"90,52786562","6,319","10,558","0,942","71,725","0,768","0,819","0,63","0,301","0,601362466812134","70,1923065185547","65,8653869628906","77,4038467407227","-4,60016843196249","0,413188278675079","60,9523811340332","35,8"
71,58,"90,30346101","6,23","10,585","0,903","71,85","0,756","0,791","0,601","0,302","0,540556669235229","69,2307662963867","64,9038467407227","77,4038467407227","22,7806229356815","0,282884180545807","56,6666679382324","34,7"
71,59,"89,94090338","6,513","10,603","0,91","71,975","0,722","0,777","0,636","0,357","0,641388833522797","73,5576934814453","66,8269195556641","79,8076934814453","-18,6497889996315","0,287804037332535","56,6037750244141","34,7"
71,60,"87,9767116","6,457","10,615","0,949","72,1","0,778","0,73","0,636","0,316","0,694954097270966","74,038459777832","67,3076934814453","80,7692337036133","8,58638851156618","0,310685813426971","58,0188674926758","34,3"
71,61,"107,9266057","6,502","10,49","0,935","72,225","0,783","0,73","0,671","0,317","0,737676799297333","76,4423065185547","67,788459777832","81,25","-7,51167122873111","0,437478542327881","59,9056587219238","34,9"
72,47,"2,054694069","5,371","10,269","0,91","65,78","0,749","0,797","0,589","0,215","1,0123438835144","81,4634170532227","76,5853652954102","84,8780517578125","30,3297191282","0,736678242683411","69,0821228027344","33,7"
72,48,"1,402325299","5,332","10,346","0,896","66,06","0,712","0,743","0,589","0,176","0,967807710170746","78,6407775878906","74,271842956543","84,9514541625977","-15,5285499304353","0,634109556674957","68,5990371704102","31,2"
72,49,"1,75832693","5,452","10,296","0,904","66,34","0,642","0,663","0,595","0,218","0,952435076236725","80,0970840454102","73,7864074707031","82,5242691040039","-65,4991596639","0,571973562240601","65,8653869628906","31,9"
72,50,"3,680336488","5,138","10,14","0,874","66,62","0,611","0,793","0,591","0,243","1,00068259239197","80,3827743530273","73,684211730957","84,2105255126953","32,8901128749","0,567619025707245","64,4549789428711","31,4"
72,52,"3,290710399","5,487","10,24","0,909","67,18","0,735","0,687","0,641","0,205","1,04544830322266","80,568717956543","76,3033142089844","84,3601913452148","-23,2867992669615","0,611041307449341","67,2985763549805","32,5"
72,53,"10,90547417","5,364","10,275","0,889","67,46","0,697","0,793","0,627","0,199","1,08829832077026","81,5165863037109","77,2511825561523","87,2037887573242","24,5541734761774","0,636465191841125","67,2985763549805","32,9"
72,54,"11,05982937","5,367","10,293","0,901","67,74","0,754","0,726","0,651","0,199","1,18153917789459","82,9383850097656","80,0947875976563","89,0995254516602","4,03294438504338","0,748215436935425","68,2464447021484","35,1"
72,55,"11,31970254","5,556","10,325","0,917","68,02","0,773","0,652","0,62","0,203","1,2990083694458","87,9807662963867","82,211540222168","90,8653869628906","-28,4631143963907","0,780257880687714","72,8571395874023","34,6"
72,56,"10,97891221","5,629","10,343","0,918","68,3","0,815","0,569","0,649","0,183","1,29068922996521","88,461540222168","82,211540222168","90,3846130371094","6,10827026806273","0,620919823646545","65,7142868041992","32,7"
72,57,"10,93025074","5,65","10,374","0,938","68,525","0,843","0,639","0,657","0,177","1,26689791679382","88,461540222168","80,7692337036133","90,3846130371094","16,8337247978081","0,67390775680542","68,5714263916016","31,2"
72,58,"9,996798641","5,938","10,429","0,936","68,75","0,862","0,668","0,74","0,16","1,23806357383728","87,0192337036133","82,211540222168","89,4230804443359","29,2738591917292","0,649775385856628","69,0476226806641","30,4"
72,59,"9,319698274","6,091","10,463","0,933","68,975","0,886","0,621","0,73","0,163","1,50129199028015","90,3846130371094","87,5","92,3076934814453","-17,3513111911956","0,587392687797546","64,6226425170898","30,3"
72,60,"9,778233032","6,035","10,496","0,934","69,2","0,887","0,576","0,738","0,156","1,55827558040619","91,3461532592773","88,9423065185547","93,75","3,39651277082034","0,633256256580353","67,4528274536133","30,8"
72,61,"18,38668734","6,453","10,488","0,958","69,425","0,954","0,398","0,762","0,188","1,61006820201874","92,3076934814453","88,461540222168","94,711540222168","13,831169140295","0,718465983867645","70,7547149658203","30,7"
